File,Program Length,Proof Declarations,Proof Instructions,Runtime
test/comparison/peterson.rav,29,11,40,1.663
test/comparison/bounded_counter.rav,13,4,7,0.109
test/comparison/inc_dec.rav,16,4,16,0.138
test/comparison/lclist.rav,114,25,46,0.650
test/comparison/barrier.rav,44,31,90,6.866
test/concurrent/lock/clh-lock.rav,25,11,13,0.356
test/comparison/fork_join.rav,11,11,7,0.127
test/concurrent/lock/mcs-lock.rav,0,0,,0.000
test/comparison/msc_queue.rav,34,13,29,0.338
test/comparison/queue.rav,36,14,32,0.223

test/comparison/rwlock_duolock.rav,45,14,23,0.400
test/comparison/rwlock_lockless_faa.rav,19,7,25,0.309
test/comparison/rwlock_ticket_bounded.rav,30,22,39,0.757
test/comparison/rwlock_ticket_unbounded.rav,31,14,38,0.403

test/comparison/fork_join_client.rav,10,6,3,0.118
test/comparison/cas_counter_client.rav,12,6,4,0.147
test/comparison/barrier_client.rav,35,50,87,0.754
test/comparison/ticket_lock_client.rav,15,5,6,0.135

test/concurrent/lock/spin-lock_compact.rav,10,6,8,0.148
test/concurrent/lock/ticket-lock.rav,16,17,12,0.806
test/comparison/arc.rav,24,18,50,0.357
test/concurrent/treiber_stack/treiber_stack_atomics.rav,20,6,32,0.420
test/comparison/cas_counter.rav,12,11,12,0.157

test/comparison/tokens.rav,0,54,46,0.312

test/concurrent/templates/ccm.rav,0,25,4,0.088
test/concurrent/templates/flows_ra.rav,0,37,22,0.859
test/concurrent/templates/keyset_ra.rav,0,23,0,0.257
test/concurrent/templates/give-up.rav,38,57,120,4.976
test/concurrent/templates/bplustree.rav,47,33,42,1.679
test/arrays/array.rav,21,37,18,0.304
test/arrays/ordered_array.rav,36,38,42,1.820

WARMUP,0
RUNS,1
